t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.09196538557863612,0.0,0.0,0.0,0.0,0.09196538557863612,0.0,4.903194330969857,0.27,0.06
2,0.11063856031541514,0.0,0.0,0.0,0.0,0.11063856031541514,0.0,4.786732688532577,0.27,0.06
3,0.06769025842082363,0.0,0.0,0.0,0.0,0.06769025842082363,0.0,4.71547978493171,0.27,0.06
4,0.059287329789273,0.0,0.0,0.0,0.0,0.059287329789273,0.0,4.653072069364054,0.27,0.06
5,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.5587233970098024,0.27,0.06
6,0.0616214766313705,0.0,0.0,0.0,0.0,0.0616214766313705,0.0,4.493858684766255,0.27,0.06
7,0.07422586957869624,0.0,0.0,0.0,0.0,0.07422586957869624,0.0,4.41572619047289,0.27,0.06
8,0.10877124284173725,0.0,0.0,0.0,0.0,0.10877124284173725,0.0,4.301230145376325,0.27,0.06
9,0.11810783021012662,0.015463187640336194,0.0,0.0,0.0,0.10264464256979043,0.0,4.193183153197598,0.27,0.06
10,0.09943465547334776,0.07395437567117302,0.0,0.0,0.0,0.025480279802174738,0.0,4.166361806037414,0.27,0.06
11,0.056953182947175746,0.13311787620811147,0.0,-0.0,0.07616469326093664,0.0,0.0,4.238718264635303,0.27,0.06
12,0.042481472526172126,0.5997027554426033,0.0,-0.0,0.5572212829164321,0.0,0.0,4.768078483405914,0.27,0.06
13,0.0350122026314605,0.8996885956651247,0.0,-0.0,0.8646763930336645,0.0,0.0,5.589521056787895,0.27,0.06
14,0.03267805578936313,0.9880304589668716,0.0,-0.0,0.9553524031775098,0.0,0.0,6.49710583980653,0.27,0.06
15,0.028943420842007336,0.41091740372928137,0.0,-0.0,0.38197398288727324,0.0,0.0,6.8599811235494395,0.27,0.06
16,0.01820634536835945,0.3508126656838008,0.0,-0.0,0.33260632031544135,0.0,0.0,7.1759571278491086,0.27,0.06
17,0.04808342494720575,0.14360595130329604,0.0,-0.0,0.09552252635609149,0.0,0.0,7.266703527887396,0.27,0.06
18,0.051351230526141996,0.054860700497888354,0.0,-0.0,0.003509469971746358,0.0,0.0,7.270037524360554,0.27,0.06
19,0.036879520105138376,0.0,0.0,0.0,0.0,0.036879520105138376,0.0,7.231216976881461,0.27,0.06
20,0.05508586547349788,0.0,0.0,0.0,0.0,0.05508586547349788,0.0,7.17323185533041,0.27,0.06
21,0.09149855621021674,0.0,0.0,0.0,0.0,0.09149855621021674,0.0,7.076917585635446,0.27,0.06
22,0.08309562757866612,0.0,0.0,0.0,0.0,0.08309562757866612,0.0,6.989448503973692,0.27,0.06
23,0.151252715367909,0.0,0.0,0.0,0.0,0.151252715367909,0.0,6.830235119375893,0.27,0.06
24,0.19466784663092002,0.0,0.0,0.0,0.0,0.19466784663092002,0.0,6.625321596606503,0.27,0.06
25,0.2679600574727779,0.0,0.0,0.0,0.0,0.2679600574727779,0.0,6.343258378214106,0.27,0.06
26,0.09009806810495824,0.0,0.0,0.0,0.0,0.09009806810495824,0.0,6.248418306524676,0.27,0.06
27,0.032678055789363086,0.0,0.0,0.0,0.0,0.032678055789363086,0.0,6.214020353062188,0.27,0.06
28,0.03127756768410475,0.0,0.0,0.0,0.0,0.03127756768410475,0.0,6.181096597605236,0.27,0.06
29,0.022874639052554227,0.0,0.0,0.0,0.0,0.022874639052554227,0.0,6.1570180301814945,0.27,0.06
30,0.06582294094714564,0.0,0.0,0.0,0.0,0.06582294094714564,0.0,6.087730723921341,0.27,0.06
31,0.105503437262801,0.0,0.0,0.0,0.0,0.105503437262801,0.0,5.976674474171024,0.27,0.06
32,0.10970490157857613,0.0,0.0,0.0,0.0,0.10970490157857613,0.0,5.861195630404102,0.27,0.06
33,0.10083514357860612,0.017076737654979954,0.0,0.0,0.0,0.08375840592362617,0.0,5.773028887326601,0.27,0.06
34,0.0952331911575725,0.07570238818703715,0.0,0.0,0.0,0.01953080297053536,0.0,5.7524701473576165,0.27,0.06
35,0.042481472526172126,0.14010992627156785,0.0,0.09762845374539572,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
36,0.049017083684044595,0.6041400179828738,0.0,0.5551229342988292,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
37,0.0303439089472657,0.9006298331736674,0.0,0.8702859242264017,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
38,0.023341468420973625,0.9990563840669375,0.0,0.9757149156459639,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
39,0.020073662842037376,0.426111666367177,0.0,0.40603800352513963,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
40,0.02987707957884626,0.3618385907838669,0.0,0.3319615112050206,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
41,0.030343908947265727,0.15422848889970087,0.0,0.12388457995243514,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
42,0.015872198526262087,0.05687763801619309,0.0,0.041005439489931,0.0,0.0,0.0,5.7524701473576165,0.27,0.06
43,0.04808342494720575,0.0,0.0,0.0,0.0,0.04808342494720575,0.0,5.701856015834242,0.27,0.06
44,0.0597541591576925,0.0,0.0,0.0,0.0,0.0597541591576925,0.0,5.638956900931407,0.27,0.06
45,0.086830262526022,0.0,0.0,0.0,0.0,0.086830262526022,0.0,5.547556624588226,0.27,0.06
46,0.156854667788943,0.0,0.0,0.0,0.0,0.156854667788943,0.0,5.382446447968285,0.27,0.06
47,0.09710050863125039,0.0,0.0,0.0,0.0,0.09710050863125039,0.0,5.28023538625118,0.27,0.06
48,0.08122831010498824,0.0,0.0,0.0,0.0,0.08122831010498824,0.0,5.1947319019301395,0.27,0.06
49,0.08076148073656887,0.0,0.0,0.0,0.0,0.08076148073656887,0.0,5.109719816944278,0.27,0.06
50,0.05928732978927313,0.0,0.0,0.0,0.0,0.05928732978927313,0.0,5.047312101376622,0.27,0.06
51,0.07422586957869626,0.0,0.0,0.0,0.0,0.07422586957869626,0.0,4.969179607083257,0.27,0.06
52,0.11904148894696563,0.0,0.0,0.0,0.0,0.11904148894696563,0.0,4.843872776612767,0.27,0.06
53,0.05275171863140037,0.0,0.0,0.0,0.0,0.05275171863140037,0.0,4.788344651737609,0.27,0.06
54,0.09616684989441138,0.0,0.0,0.0,0.0,0.09616684989441138,0.0,4.6871163886908604,0.27,0.06
55,0.12697758821009664,0.0,0.0,0.0,0.0,0.12697758821009664,0.0,4.553455769522338,0.27,0.06
56,0.08169513947340788,0.0,0.0,0.0,0.0,0.08169513947340788,0.0,4.467460885866119,0.27,0.06
57,0.09383270305231411,0.017076737654979968,0.0,0.0,0.0,0.07675596539733415,0.0,4.386665132816294,0.27,0.06
58,0.09429953242073362,0.07718147570046055,0.0,0.0,0.0,0.01711805672027307,0.0,4.368646125742322,0.27,0.06
59,0.051818059894561494,0.14239578879231324,0.0,0.09057772889775174,0.0,0.0,0.0,4.368646125742322,0.27,0.06
60,0.04201464315775262,0.6096529805329066,0.0,0.567638337375154,0.0,0.0,0.0,4.368646125742322,0.27,0.06
61,0.06395562347346775,0.9018399956846505,0.0,0.8378843722111827,0.0,0.0,0.0,4.368646125742322,0.27,0.06
62,0.033611714526202,1.0010733215852428,0.0,0.9674616070590407,0.0,0.0,0.0,4.368646125742322,0.27,0.06
63,0.03127756768410475,0.43754097897090366,0.0,0.4062634112867989,0.0,0.0,0.0,4.368646125742322,0.27,0.06
64,0.027076103368329475,0.369234028350984,0.0,0.3421579249826545,0.0,0.0,0.0,4.368646125742322,0.27,0.06
65,0.017272686631520512,0.15543865141068375,0.0,0.13816596477916324,0.0,0.0,0.0,4.368646125742322,0.27,0.06
