t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.08963123873653875,0.0,-1.6653345369377348e-16,0.0,0.0,0.08963123873653892,0.0,1.176412831911437,0.14,0.06,0.0,0.0,0.0
2,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,1.1528256638228742,0.14,0.06,0.0,0.0,0.0
3,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,1.1280099973963653,0.14,0.06,0.0,0.0,0.0
4,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,1.1031943309698564,0.14,0.06,0.0,0.0,0.0
5,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,1.0592140904713903,0.14,0.06,0.0,0.0,0.0
6,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,1.015233849972924,0.14,0.06,0.0,0.0,0.0
7,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,1.0009832692527507,0.14,0.06,0.0,0.0,0.0
8,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,0.9867326885325775,0.14,0.06,0.0,0.0,0.0
9,0.05601952421033675,0.0,0.0,0.0,0.0,0.05601952421033675,0.0,0.9719907084772257,0.14,0.06,0.0,0.0,0.0
10,0.05601952421033675,0.0,0.0,0.0,0.0,0.05601952421033675,0.0,0.9572487284218739,0.14,0.06,0.0,0.0,0.0
11,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,0.9363642566767922,0.14,0.06,0.0,0.0,0.0
12,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,0.9154797849317104,0.14,0.06,0.0,0.0,0.0
13,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,0.9031948015522506,0.14,0.06,0.0,0.0,0.0
14,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,0.8909098181727908,0.14,0.06,0.0,0.0,0.0
15,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,0.8719909437684228,0.14,0.06,0.0,0.0,0.0
16,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,0.8530720693640547,0.14,0.06,0.0,0.0,0.0
17,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,0.825799406261654,0.14,0.06,0.0,0.0,0.0
18,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,0.7985267431592532,0.14,0.06,0.0,0.0,0.0
