t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204458,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821527,0.27,0.06
4,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.521241182438595,0.27,0.06
5,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.444930730026183,0.27,0.06
6,0.289979719167165,0.0,0.0,5.551115123125783e-17,0.0,0.28997971916716503,0.0,4.368620277613771,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.2853003729000445,0.27,0.06
8,0.3166156379121575,0.0,0.0,1.1102230246251565e-16,0.0,0.31661563791215763,0.0,4.201980468186319,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.112180126439304,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.022379784692289,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.9799263094333908,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.9374728341744927,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.900441765412837,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.863410696651181,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.8366954256159866,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.809980154580792,0.27,0.06
17,0.093979562364402,0.0,0.0,2.7755575615628914e-17,0.0,0.09397956236440203,0.0,3.785248690800686,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7605172270205807,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7357857632404747,0.27,0.06
20,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.711054299460369,0.27,0.06
21,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6918774959945115,0.27,0.06
22,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6727006925286543,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6510110665396844,0.27,0.06
24,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.6293214405507146,0.27,0.06
25,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6155670435820997,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6018126466134848,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5573753640994976,0.27,0.06
28,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.512938081585511,0.27,0.06
29,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.4903226788775,0.27,0.06
30,0.0859385302904425,0.0,0.0,1.3877787807814457e-17,0.0,0.08593853029044252,0.0,3.467707276169489,0.27,0.06
31,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.445885396363513,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.4240635165575375,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.39549669208426,0.27,0.06
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.366929867610983,0.27,0.06
35,0.1256411261556175,0.009412375085422024,0.0,0.0,0.0,0.11622875107019548,0.0,3.3363433541714578,0.27,0.06
36,0.1256411261556175,0.021514000195250363,0.0,0.0,0.0,0.10412712596036715,0.0,3.3089414789187295,0.27,0.06
37,0.12815394867873,0.028506050258706703,0.0,0.0,0.0,0.0996478984200233,0.0,3.2827183477555653,0.27,0.06
38,0.12815394867873,0.034691325314841155,0.0,0.0,0.0,0.09346262336388886,0.0,3.2581229205545417,0.27,0.06
39,0.08242057875808526,0.04006982536365377,0.0,0.0,0.0,0.042350753394431485,0.0,3.246977985450744,0.27,0.06
40,0.08242057875808526,0.04464155040514443,0.0,0.0,0.0,0.03777902835294083,0.0,3.2370361358841806,0.27,0.06
41,0.08744622380430975,0.049213275446635146,0.0,6.938893903907228e-18,0.0,0.03823294835767461,0.0,3.2269748336847925,0.27,0.06
42,0.08744622380430975,0.05217145047348207,0.0,0.0,0.0,0.03527477333082768,0.0,3.217691998597733,0.27,0.06
43,0.273395090514625,0.05647425051253213,0.0,0.0,0.0,0.21692084000209289,0.0,3.1606075670182348,0.27,0.06
44,0.273395090514625,0.10837677598357359,0.0,0.0,0.0,0.16501831453105142,0.0,3.117181694773221,0.27,0.06
45,0.17388731859937476,0.2043830018548782,0.0,0.0,0.030495683255503447,0.0,0.0,3.1244244195464033,0.27,0.06
46,0.17388731859937476,0.2535962773015132,0.0,1.942890293094024e-16,0.07970895870213823,0.0,0.0,3.143355297238161,0.27,0.06
47,1.6981654108628774,0.3455686281362089,0.0,-0.0,0.0,1.3525967827266685,0.0,2.787408775467985,0.27,0.06
48,1.6981654108628774,0.39585760359260636,0.0,-0.0,0.0,1.302307807270271,0.0,2.4446961946073875,0.27,0.06
49,1.582073060551535,0.4327003289269722,0.0,-0.0,0.0,1.1493727316245628,0.0,2.142229686285134,0.27,0.06
50,1.582073060551535,0.46281992920032267,0.0,0.0,0.0,1.1192531313512115,0.0,1.847689388561131,0.27,0.06
51,1.646903881647835,0.42597720386595683,0.0,-0.0,0.0,1.2209266777818781,0.0,1.5263928944080052,0.27,0.06
52,1.646903881647835,0.4778797293369978,1.1690241523108371,0.0,0.0,0.0,0.0,1.5263928944080052,0.27,0.06
53,1.290585698126955,0.5354296798592926,0.7551560182676624,0.0,0.0,0.0,0.0,1.5263928944080052,0.27,0.06
54,1.290585698126955,0.5443042049398337,0.2878089231630484,0.0,0.0,0.45847257002407293,0.0,1.4057422180858807,0.27,0.06
55,1.07850337666337,0.519294179712855,0.5592091969505151,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
56,1.07850337666337,0.37703285342176207,0.701470523241608,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
57,1.321242032396025,0.26516005240646034,1.0560819799895647,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
58,1.321242032396025,0.19604632677921868,1.1251957056168063,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
59,1.2152009721771324,0.1772215766083745,1.037979395568758,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
60,1.2152009721771324,0.1834068516645092,1.031794120512623,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
61,1.21469845792896,0.2025005268377938,1.0121979310911664,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
62,1.21469845792896,0.2143332269451815,1.0003652309837785,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
63,0.90964170311022,0.16377532648634324,0.7458663766238764,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
64,0.90964170311022,0.12101625109828315,0.7886254520119368,0.0,0.0,0.0,0.0,1.4057422180858807,0.27,0.06
65,0.1266462551648625,0.08766955079564516,0.0,0.0,0.0,0.03897670436921734,0.0,1.3954851906202972,0.27,0.06
66,0.1266462551648625,0.07476115067849498,0.0,0.0,0.0,0.05188510448636752,0.0,1.3818312157554637,0.27,0.06
67,0.20152836635361074,0.06588662559795415,0.0,0.0,0.0,0.1356417407556566,0.0,1.3461360208197646,0.27,0.06
68,0.20152836635361074,0.058894575534497805,0.0,0.0,0.0,0.14263379081911293,0.0,1.3086008127094717,0.27,0.06
69,0.16584628652541525,0.04759972543199135,0.0,0.0,0.0,0.11824656109342391,0.0,1.277483296632255,0.27,0.06
70,0.16584628652541525,0.03361562530507866,0.0,0.0,0.0,0.13223066122033658,0.0,1.2426857542058505,0.27,0.06
71,0.2904822836717875,0.019631525178165944,0.27085075849362156,0.0,0.0,0.0,0.0,1.2426857542058505,0.27,0.06
