case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_share_out_kWh,E_share_in_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,E_share_out_kWh_COMM,E_share_in_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
pv04_fallback_mean_export,B,639.6659375,10.623301686840307,628.2826358131597,0.0,0.0,0.7599999999999951,0.0,0.0,0.2,0.2,0.8049999999999999,157.07065895328992,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv04_fallback_mean_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.184999999999995,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,5.224528576440321,0.0,5.224528576440321,0.0,0.0,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
pv05_equal_no_export,A,639.6659375,10.623301686840307,627.6176358131597,0.0,0.0,1.425,0.0,0.0,0.5,0.5,1.805,156.90440895328993,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv05_equal_no_export,B,639.6659375,10.623301686840307,628.2826358131597,0.0,0.0,0.7600000000000002,0.0,0.0,0.2,0.2,0.9090131578947368,157.07065895328992,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv05_equal_no_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.7,0.7,2.714013157894737,313.97506790657985,0.0,0.32653303602752004,5.224528576440321,0.0,5.224528576440321,0.0,0.0,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
pv06_weighted_no_export,A,639.6659375,14.872622361576422,623.3683151384236,0.0,0.0,1.4249999999999998,0.0,0.0,0.5,0.5,1.805,155.8420787846059,0.0,0.16197312521926402,2.5915700035082243,0.0,2.5915700035082243,0.0,0.0,,,,,,,,,
pv06_weighted_no_export,B,639.6659375,6.373981012104179,632.5319564878957,0.0,0.0,0.7600000000000001,0.0,0.0,0.2,0.2,0.8050000000000003,158.13298912197394,0.0,0.16455991080825602,2.6329585729320963,0.0,2.6329585729320963,0.0,0.0,,,,,,,,,
pv06_weighted_no_export,_COMMUNITY,1279.331875,21.2466033736806,1255.9002716263194,0.0,0.0,2.185,0.0,0.0,0.7,0.7,2.6100000000000003,313.97506790657985,0.0,0.32653303602752004,5.224528576440321,0.0,5.224528576440321,0.0,0.0,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
pv07_fallback_instant_no_export,A,639.6659375,10.623301686840307,627.6176358131597,0.0,0.0,1.425,0.0,0.0,0.5,0.5,1.805,156.90440895328993,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv07_fallback_instant_no_export,B,639.6659375,10.623301686840307,628.2826358131597,0.0,0.0,0.7600000000000002,0.0,0.0,0.2,0.2,0.9090131578947368,157.07065895328992,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv07_fallback_instant_no_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.7,0.7,2.714013157894737,313.97506790657985,0.0,0.32653303602752004,5.224528576440321,0.0,5.224528576440321,0.0,0.0,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
pv08_fallback_mean_no_export,A,639.6659375,10.623301686840307,627.6176358131597,0.0,0.0,1.425,0.0,0.0,0.5,0.5,1.805,156.90440895328993,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv08_fallback_mean_no_export,B,639.6659375,10.623301686840307,628.2826358131597,0.0,0.0,0.7600000000000002,0.0,0.0,0.2,0.2,0.9090131578947368,157.07065895328992,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,,,
pv08_fallback_mean_no_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.7,0.7,2.714013157894737,313.97506790657985,0.0,0.32653303602752004,5.224528576440321,0.0,5.224528576440321,0.0,0.0,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
