t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.09196538557863612,0.0,0.0,0.0,0.0,0.09196538557863612,0.0,4.903194330969857,0.27,0.06
2,0.11063856031541514,0.0,0.0,0.0,0.0,0.11063856031541514,0.0,4.786732688532577,0.27,0.06
3,0.06769025842082363,0.0,0.0,0.0,0.0,0.06769025842082363,0.0,4.71547978493171,0.27,0.06
4,0.059287329789273,0.0,0.0,0.0,0.0,0.059287329789273,0.0,4.653072069364054,0.27,0.06
5,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.5587233970098024,0.27,0.06
6,0.0616214766313705,0.0,0.0,0.0,0.0,0.0616214766313705,0.0,4.493858684766255,0.27,0.06
7,0.07422586957869624,0.0,0.0,0.0,0.0,0.07422586957869624,0.0,4.41572619047289,0.27,0.06
8,0.10877124284173725,0.0,0.0,0.0,0.0,0.10877124284173725,0.0,4.301230145376325,0.27,0.06
9,0.11810783021012662,0.015463187640336194,0.0,0.0,0.0,0.10264464256979043,0.0,4.193183153197598,0.27,0.06
10,0.09943465547334776,0.07395437567117302,0.0,0.0,0.0,0.025480279802174738,0.0,4.166361806037414,0.27,0.06
11,0.056953182947175746,0.13311787620811147,0.0,-0.0,0.07616469326093572,0.0,0.0,4.2387182646353025,0.27,0.06
12,0.042481472526172126,0.5997027554426033,0.0,-0.0,0.5572212829164321,0.0,0.0,4.768078483405913,0.27,0.06
13,0.0350122026314605,0.8996885956651247,0.0,-0.0,0.8646763930336642,0.0,0.0,5.589521056787894,0.27,0.06
14,0.03267805578936313,0.9880304589668716,0.0,-0.0,0.9553524031775098,0.0,0.0,6.497105839806528,0.27,0.06
15,0.028943420842007336,0.41091740372928137,0.0,-0.0,0.381973982887274,0.0,0.0,6.859981123549438,0.27,0.06
16,0.01820634536835945,0.3508126656838008,0.0,-0.0,0.3326063203154422,0.0,0.0,7.175957127849108,0.27,0.06
17,0.04808342494720575,0.14360595130329604,0.0,-0.0,0.09552252635609029,0.0,0.0,7.266703527887393,0.27,0.06
18,0.051351230526141996,0.054860700497888354,0.0,0.003509469971746358,0.0,0.0,0.0,7.266703527887393,0.27,0.06
19,0.036879520105138376,0.0,0.0,0.0,0.0,0.036879520105138376,0.0,7.2278829804083,0.27,0.06
20,0.05508586547349788,0.0,0.0,0.0,0.0,0.05508586547349788,0.0,7.169897858857249,0.27,0.06
21,0.09149855621021674,0.0,0.0,0.0,0.0,0.09149855621021674,0.0,7.0735835891622845,0.27,0.06
22,0.08309562757866612,0.0,0.0,0.0,0.0,0.08309562757866612,0.0,6.986114507500531,0.27,0.06
23,0.151252715367909,0.0,0.0,0.0,0.0,0.151252715367909,0.0,6.826901122902732,0.27,0.06
24,0.19466784663092002,0.0,0.0,0.0,0.0,0.19466784663092002,0.0,6.621987600133342,0.27,0.06
25,0.2679600574727779,0.0,0.0,0.0,0.0,0.2679600574727779,0.0,6.3399243817409445,0.27,0.06
26,0.09009806810495824,0.0,0.0,0.0,0.0,0.09009806810495824,0.0,6.2450843100515145,0.27,0.06
27,0.032678055789363086,0.0,0.0,0.0,0.0,0.032678055789363086,0.0,6.210686356589027,0.27,0.06
28,0.03127756768410475,0.0,0.0,0.0,0.0,0.03127756768410475,0.0,6.177762601132074,0.27,0.06
29,0.022874639052554227,0.0,0.0,0.0,0.0,0.022874639052554227,0.0,6.153684033708333,0.27,0.06
30,0.06582294094714564,0.0,0.0,0.0,0.0,0.06582294094714564,0.0,6.08439672744818,0.27,0.06
31,0.105503437262801,0.0,0.0,0.0,0.0,0.105503437262801,0.0,5.973340477697863,0.27,0.06
32,0.10970490157857613,0.0,0.0,0.0,0.0,0.10970490157857613,0.0,5.85786163393094,0.27,0.06
33,0.10083514357860612,0.017076737654979954,0.0,0.0,0.0,0.08375840592362617,0.0,5.769694890853439,0.27,0.06
34,0.0952331911575725,0.07570238818703715,0.0,0.0,0.0,0.01953080297053536,0.0,5.749136150884455,0.27,0.06
35,0.042481472526172126,0.14010992627156785,0.0,0.09762845374539572,0.0,0.0,0.0,5.749136150884455,0.27,0.06
36,0.049017083684044595,0.6041400179828738,0.0,0.5551229342988292,0.0,0.0,0.0,5.749136150884455,0.27,0.06
37,0.0303439089472657,0.9006298331736674,0.0,0.8702859242264017,0.0,0.0,0.0,5.749136150884455,0.27,0.06
38,0.023341468420973625,0.9990563840669375,0.0,0.9757149156459639,0.0,0.0,0.0,5.749136150884455,0.27,0.06
39,0.020073662842037376,0.426111666367177,0.0,0.40603800352513963,0.0,0.0,0.0,5.749136150884455,0.27,0.06
40,0.02987707957884626,0.3618385907838669,0.0,0.3319615112050206,0.0,0.0,0.0,5.749136150884455,0.27,0.06
41,0.030343908947265727,0.15422848889970087,0.0,0.12388457995243514,0.0,0.0,0.0,5.749136150884455,0.27,0.06
42,0.015872198526262087,0.05687763801619309,0.0,0.041005439489931,0.0,0.0,0.0,5.749136150884455,0.27,0.06
43,0.04808342494720575,0.0,0.0,0.0,0.0,0.04808342494720575,0.0,5.69852201936108,0.27,0.06
44,0.0597541591576925,0.0,0.0,0.0,0.0,0.0597541591576925,0.0,5.635622904458246,0.27,0.06
45,0.086830262526022,0.0,0.0,0.0,0.0,0.086830262526022,0.0,5.544222628115064,0.27,0.06
46,0.156854667788943,0.0,0.0,0.0,0.0,0.156854667788943,0.0,5.379112451495124,0.27,0.06
47,0.09710050863125039,0.0,0.0,0.0,0.0,0.09710050863125039,0.0,5.276901389778018,0.27,0.06
48,0.08122831010498824,0.0,0.0,0.0,0.0,0.08122831010498824,0.0,5.191397905456978,0.27,0.06
49,0.08076148073656887,0.0,0.0,0.0,0.0,0.08076148073656887,0.0,5.106385820471116,0.27,0.06
50,0.05928732978927313,0.0,0.0,0.0,0.0,0.05928732978927313,0.0,5.04397810490346,0.27,0.06
51,0.07422586957869626,0.0,0.0,0.0,0.0,0.07422586957869626,0.0,4.965845610610096,0.27,0.06
52,0.11904148894696563,0.0,0.0,0.0,0.0,0.11904148894696563,0.0,4.840538780139606,0.27,0.06
53,0.05275171863140037,0.0,0.0,0.0,0.0,0.05275171863140037,0.0,4.785010655264448,0.27,0.06
54,0.09616684989441138,0.0,0.0,0.0,0.0,0.09616684989441138,0.0,4.683782392217699,0.27,0.06
55,0.12697758821009664,0.0,0.0,0.0,0.0,0.12697758821009664,0.0,4.5501217730491765,0.27,0.06
56,0.08169513947340788,0.0,0.0,0.0,0.0,0.08169513947340788,0.0,4.464126889392958,0.27,0.06
57,0.09383270305231411,0.017076737654979968,0.0,0.0,0.0,0.07675596539733415,0.0,4.383331136343132,0.27,0.06
58,0.09429953242073362,0.07718147570046055,0.0,0.0,0.0,0.01711805672027307,0.0,4.365312129269161,0.27,0.06
59,0.051818059894561494,0.14239578879231324,0.0,0.09057772889775174,0.0,0.0,0.0,4.365312129269161,0.27,0.06
60,0.04201464315775262,0.6096529805329066,0.0,0.567638337375154,0.0,0.0,0.0,4.365312129269161,0.27,0.06
61,0.06395562347346775,0.9018399956846505,0.0,0.11328757113202659,0.7245968010791561,0.0,0.0,5.053679090294359,0.27,0.06
62,0.033611714526202,1.0010733215852428,0.0,0.9674616070590407,0.0,0.0,0.0,5.053679090294359,0.27,0.06
63,0.03127756768410475,0.43754097897090366,0.0,0.4062634112867989,0.0,0.0,0.0,5.053679090294359,0.27,0.06
64,0.027076103368329475,0.369234028350984,0.0,0.3421579249826545,0.0,0.0,0.0,5.053679090294359,0.27,0.06
65,0.017272686631520512,0.15543865141068375,0.0,0.13816596477916324,0.0,0.0,0.0,5.053679090294359,0.27,0.06
