t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.05946933269511025,0.0,0.05946933269511025,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
2,0.04823229614297925,0.0,0.04823229614297925,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
3,0.0957171974774015,0.0,0.0957171974774015,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
4,0.1105131077021435,0.0,0.1105131077021435,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
5,0.048060463234513,0.0,0.048060463234513,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
6,0.0487843550616685,0.0,0.0487843550616685,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
7,0.059500670003645,0.0,0.059500670003645,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
8,0.048591630614179,0.0,0.048591630614179,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
9,0.0480547180612815,0.0,0.0480547180612815,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
10,0.058070121869028,0.0,0.058070121869028,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
11,0.0511806145876355,0.0,0.0511806145876355,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
12,0.059124100012751,0.0,0.059124100012751,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
13,0.11148247511282225,0.0,0.11148247511282225,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
14,0.08858848207419275,0.0,0.08858848207419275,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
15,0.047809764766234,0.0,0.047809764766234,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
16,0.175498851276343,0.0,0.175498851276343,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
17,0.216943486390668,0.0,0.216943486390668,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
18,0.154833463163019,0.0,0.154833463163019,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
19,0.1350878250551935,0.0,0.1350878250551935,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
20,0.07983127120412176,0.0,0.07983127120412176,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
21,0.020755221731124124,0.0,0.020755221731124124,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
22,0.020088781636282426,0.0,0.020088781636282426,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
23,0.0312835128218915,0.0,0.0312835128218915,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
24,0.021697952429548324,0.0,0.021697952429548324,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
25,0.020385963778888176,0.0,0.020385963778888176,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
26,0.0743096374402765,0.0,0.0743096374402765,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
27,0.07922384970702075,0.0,0.07922384970702075,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
28,0.040962040562888,0.0,0.040962040562888,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
29,0.026098755124796,0.0,0.026098755124796,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
30,0.02725040121345275,0.0,0.02725040121345275,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
31,0.020919742600932226,0.0,0.020919742600932226,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
32,0.021633710947051826,0.0,0.021633710947051826,0.0,0.0,0.0,0.0,0.0,0.14,0.06,0.0,0.0,0.0
33,0.0289608959709815,0.0,0.0289608959709815,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
34,0.019621855739112775,0.0,0.019621855739112775,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.0,0.0,0.0
35,0.01895854937512455,0.0040910740477413,0.01486747532738325,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.004091074047741301,0.0,0.0
36,0.04894678677757425,0.00935102639483725,0.039595760382736996,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.009351026394837252,0.0,0.0
37,0.077780244360514,0.01239010997315935,0.06539013438735465,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.012390109973159355,0.0,0.0
38,0.036464092211182,0.01507853006167505,0.02138556214950695,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.01507853006167505,0.0,0.0
39,0.0271459435183365,0.017416286660384375,0.009729656857952126,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.017416286660384375,0.0,0.0
40,0.022661052378520175,0.019403379769287275,0.0032576726092329,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.019403379769287275,0.0,0.0
41,0.019504340832106976,0.0213904728781902,0.0,0.0018861320460832227,0.0,0.0,0.0,0.0,0.24,0.06,0.019504340832106976,0.0,0.0018861320460832227
42,0.0240660083778338,0.022676239007480326,0.0013897693703534726,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.022676239007480326,0.0,0.0
43,0.02530592121886375,0.024546444286447776,0.0007594769324159728,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.024546444286447776,0.0,0.0
44,0.01927401161437565,0.0471057954639925,0.0,0.02783178384961685,0.0,0.0,0.0,0.0,0.24,0.06,0.01927401161437565,0.0,0.02783178384961685
45,0.020490421474004424,0.08883475075095375,0.0,0.06834432927694932,0.0,0.0,0.0,0.0,0.24,0.06,0.020490421474004424,0.0,0.06834432927694932
46,0.02955055965991275,0.110225223629144,0.0,0.08067466396923124,0.0,0.0,0.0,0.0,0.24,0.06,0.02955055965991275,0.0,0.08067466396923124
47,0.103743204481659,0.15020086146707326,0.0,0.046457656985414264,0.0,0.0,0.0,0.0,0.24,0.06,0.103743204481659,0.0,0.046457656985414264
48,0.11892404131290425,0.17205888566500524,0.0,0.05313484435210099,0.0,0.0,0.0,0.0,0.24,0.06,0.11892404131290425,0.0,0.05313484435210099
49,0.19297619053471926,0.188072518366164,0.004903672168555251,0.0,0.0,0.0,0.0,0.0,0.24,0.06,0.188072518366164,0.0,0.0
50,0.179567478501121,0.20116395531893624,0.0,0.021596476817815236,0.0,0.0,0.0,0.0,0.24,0.06,0.179567478501121,0.0,0.021596476817815236
51,0.128244279159652,0.1851503226177775,0.0,0.0569060434581255,0.0,0.0,0.0,0.0,0.24,0.06,0.128244279159652,0.0,0.0569060434581255
52,0.0891415855698335,0.20770967379532226,0.0,0.11856808822548877,0.0,0.0,0.0,0.0,0.24,0.06,0.0891415855698335,0.0,0.11856808822548877
53,0.08403464885559975,0.232723669401512,0.0,0.14868902054591226,0.0,0.0,0.0,0.0,0.24,0.06,0.08403464885559975,0.0,0.14868902054591226
54,0.0652380089079055,0.23658096778938226,0.0,0.17134295888147677,0.0,0.0,0.0,0.0,0.24,0.06,0.0652380089079055,0.0,0.17134295888147677
55,0.0227080583413225,0.225710399605384,0.0,0.2030023412640615,0.0,0.0,0.0,0.0,0.24,0.06,0.0227080583413225,0.0,0.2030023412640615
56,0.02415688657258495,0.16387673756952276,0.0,0.13971985099693782,0.0,0.0,0.0,0.0,0.24,0.06,0.02415688657258495,0.0,0.13971985099693782
57,0.0263938481134995,0.115251400316369,0.0,0.0888575522028695,0.0,0.0,0.0,0.0,0.24,0.06,0.0263938481134995,0.0,0.0888575522028695
58,0.0206105478233881,0.0852112280229545,0.0,0.0646006801995664,0.0,0.0,0.0,0.0,0.24,0.06,0.0206105478233881,0.0,0.0646006801995664
59,0.0316026310804715,0.07702907992747175,0.0,0.045426448847000256,0.0,0.0,0.0,0.0,0.24,0.06,0.0316026310804715,0.0,0.045426448847000256
