t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.976412831911437,0.27,0.06
2,0.08963123873653875,0.0,0.0,0.0,0.0,0.08963123873653875,0.0,4.952825663822875,0.27,0.06
3,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,4.928009997396366,0.27,0.06
4,0.0942995324207335,0.0,0.0,0.0,0.0,0.0942995324207335,0.0,4.903194330969859,0.27,0.06
5,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,4.859214090471392,0.27,0.06
6,0.1671249138941715,0.0,0.0,0.0,0.0,0.1671249138941715,0.0,4.815233849972926,0.27,0.06
7,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,4.800983269252752,0.27,0.06
8,0.05415220673665875,0.0,0.0,0.0,0.0,0.05415220673665875,0.0,4.786732688532579,0.27,0.06
9,0.05601952421033675,0.0,0.0,6.938893903907228e-18,0.0,0.056019524210336756,0.0,4.771990708477227,0.27,0.06
10,0.05601952421033675,0.0,0.0,0.0,0.0,0.05601952421033675,0.0,4.757248728421875,0.27,0.06
11,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,4.736364256676794,0.27,0.06
12,0.0793609926313105,0.0,0.0,0.0,0.0,0.0793609926313105,0.0,4.715479784931712,0.27,0.06
13,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,4.703194801552252,0.27,0.06
14,0.04668293684194725,0.0,0.0,0.0,0.0,0.04668293684194725,0.0,4.690909818172792,0.27,0.06
15,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,4.671990943768424,0.27,0.06
16,0.07189172273659875,0.0,0.0,0.0,0.0,0.07189172273659875,0.0,4.653072069364057,0.27,0.06
17,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.625799406261656,0.27,0.06
18,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.598526743159256,0.27,0.06
19,0.0756263576839545,0.0,0.0,0.0,0.0,0.0756263576839545,0.0,4.578625070084531,0.27,0.06
20,0.0756263576839545,0.0,0.0,0.0,0.0,0.0756263576839545,0.0,4.558723397009806,0.27,0.06
21,0.07095806399976,0.0,0.0,0.0,0.0,0.07095806399976,0.0,4.540050222273026,0.27,0.06
22,0.07095806399976,0.0,0.0,0.0,0.0,0.07095806399976,0.0,4.521377047536247,0.27,0.06
23,0.052284889262981,0.0,0.0,0.0,0.0,0.052284889262981,0.0,4.507617866151252,0.27,0.06
24,0.052284889262981,0.0,0.0,0.0,0.0,0.052284889262981,0.0,4.4938586847662565,0.27,0.06
25,0.0429483018945915,0.0,0.0,0.0,0.0,0.0429483018945915,0.0,4.482556500057154,0.27,0.06
26,0.0429483018945915,0.0,0.0,6.938893903907228e-18,0.0,0.042948301894591506,0.0,4.471254315348051,0.27,0.06
27,0.105503437262801,0.0,0.0,0.0,0.0,0.105503437262801,0.0,4.443490252910472,0.27,0.06
28,0.105503437262801,0.0,0.0,0.0,0.0,0.105503437262801,0.0,4.415726190472893,0.27,0.06
29,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.388453527370491,0.27,0.06
30,0.103636119789123,0.0,0.0,0.0,0.0,0.103636119789123,0.0,4.361180864268091,0.27,0.06
31,0.1139063658943515,0.0,0.0,0.0,0.0,0.1139063658943515,0.0,4.33120550482221,0.27,0.06
32,0.1139063658943515,0.0,0.0,0.0,0.0,0.1139063658943515,0.0,4.301230145376327,0.27,0.06
33,0.1297785644206135,0.0,0.0,0.0,0.0,0.1297785644206135,0.0,4.267077891581429,0.27,0.06
34,0.1297785644206135,0.0,0.0,0.0,0.0,0.1297785644206135,0.0,4.232925637786531,0.27,0.06
35,0.10643709599963976,0.01882475017084405,0.0,0.0,0.0,0.0876123458287957,0.0,4.209869757305269,0.27,0.06
