t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.870920274602229,0.27,0.06
2,0.49050295651153,0.0,0.0,0.0,0.0,0.49050295651153,0.0,4.741840549204458,0.27,0.06
3,0.41913879685514,0.0,0.0,0.0,0.0,0.41913879685514,0.0,4.631540865821527,0.27,0.06
4,0.41913879685514,0.0,0.0,-5.551115123125783e-17,0.0,0.41913879685513994,0.0,4.521241182438595,0.27,0.06
5,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.444930730026183,0.27,0.06
6,0.289979719167165,0.0,0.0,0.0,0.0,0.289979719167165,0.0,4.368620277613771,0.27,0.06
7,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.285300372900045,0.27,0.06
8,0.3166156379121575,0.0,0.0,0.0,0.0,0.3166156379121575,0.0,4.20198046818632,0.27,0.06
9,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.112180126439305,0.27,0.06
10,0.3412412986386575,0.0,0.0,0.0,0.0,0.3412412986386575,0.0,4.02237978469229,0.27,0.06
11,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.979926309433391,0.27,0.06
12,0.161323205983813,0.0,0.0,0.0,0.0,0.161323205983813,0.0,3.937472834174493,0.27,0.06
13,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.9004417654128374,0.27,0.06
14,0.14071806129429176,0.0,0.0,0.0,0.0,0.14071806129429176,0.0,3.8634106966511816,0.27,0.06
15,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.836695425615987,0.27,0.06
16,0.101518029933739,0.0,0.0,0.0,0.0,0.101518029933739,0.0,3.8099801545807925,0.27,0.06
17,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7852486908006866,0.27,0.06
18,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.760517227020581,0.27,0.06
19,0.093979562364402,0.0,0.0,0.0,0.0,0.093979562364402,0.0,3.7357857632404756,0.27,0.06
20,0.093979562364402,0.0,0.0,2.7755575615628914e-17,0.0,0.09397956236440203,0.0,3.7110542994603697,0.27,0.06
21,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.691877495994512,0.27,0.06
22,0.07287185317025825,0.0,0.0,0.0,0.0,0.07287185317025825,0.0,3.6727006925286547,0.27,0.06
23,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.651011066539685,0.27,0.06
24,0.08242057875808526,0.0,0.0,2.7755575615628914e-17,0.0,0.08242057875808528,0.0,3.629321440550715,0.27,0.06
25,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.6155670435821,0.27,0.06
26,0.052266708480737,0.0,0.0,0.0,0.0,0.052266708480737,0.0,3.601812646613485,0.27,0.06
27,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.5573753640994985,0.27,0.06
28,0.16886167355315,0.0,0.0,0.0,0.0,0.16886167355315,0.0,3.512938081585512,0.27,0.06
29,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.4903226788775,0.27,0.06
30,0.0859385302904425,0.0,0.0,0.0,0.0,0.0859385302904425,0.0,3.467707276169489,0.27,0.06
31,0.0829231432627075,0.0,0.0,1.3877787807814457e-17,0.0,0.08292314326270751,0.0,3.445885396363513,0.27,0.06
32,0.0829231432627075,0.0,0.0,0.0,0.0,0.0829231432627075,0.0,3.4240635165575375,0.27,0.06
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.3954966920842606,0.27,0.06
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,3.3669298676109833,0.27,0.06
35,0.1256411261556175,0.0,0.0,0.0,0.0,0.1256411261556175,0.0,3.333866413359505,0.27,0.06
36,0.1256411261556175,0.0,0.0,0.0,0.0,0.1256411261556175,0.0,3.3008029591080263,0.27,0.06
37,0.12815394867873,0.0,0.0,0.0,0.0,0.12815394867873,0.0,3.2670782357715185,0.27,0.06
38,0.12815394867873,0.0,0.0,0.0,0.0,0.12815394867873,0.0,3.2333535124350106,0.27,0.06
39,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.2116638864460407,0.27,0.06
40,0.08242057875808526,0.0,0.0,0.0,0.0,0.08242057875808526,0.0,3.189974260457071,0.27,0.06
41,0.08744622380430975,0.0,0.0,0.0,0.0,0.08744622380430975,0.0,3.1669620962980423,0.27,0.06
42,0.08744622380430975,0.0,0.0,0.0,0.0,0.08744622380430975,0.0,3.143949932139013,0.27,0.06
43,0.273395090514625,0.0,0.0,0.0,0.0,0.273395090514625,0.0,3.0720038556877958,0.27,0.06
44,0.273395090514625,0.0,0.0,0.0,0.0,0.273395090514625,0.0,3.000057779236579,0.27,0.06
45,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.000057779236579,0.27,0.06
46,0.17388731859937476,0.17388731859937476,0.0,0.0,0.0,0.0,0.0,3.000057779236579,0.27,0.06
47,1.6981654108628774,0.14551338263484392,0.0,0.0,0.0,1.5526520282280334,0.0,2.5914651402292015,0.27,0.06
48,1.6981654108628774,0.9402511279831876,0.0,0.0,0.0,0.7579142828796899,0.0,2.392014013155599,0.27,0.06
49,1.582073060551535,0.9554773015142601,0.0,0.0,0.0,0.6265957590372748,0.0,2.227120392356316,0.27,0.06
50,1.582073060551535,1.150423392691874,0.0,0.0,0.0,0.43164966785966086,0.0,2.1135283744985105,0.27,0.06
51,1.646903881647835,0.8070925650514371,0.0,0.0,0.0,0.8398113165963978,0.0,1.8925253964468267,0.27,0.06
52,1.646903881647835,1.646903881647835,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
53,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
54,1.290585698126955,1.290585698126955,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
55,1.07850337666337,1.07850337666337,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
56,1.07850337666337,1.07850337666337,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
57,1.321242032396025,1.321242032396025,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
58,1.321242032396025,1.321242032396025,0.0,0.0,0.0,0.0,0.0,1.8925253964468267,0.27,0.06
59,1.2152009721771324,0.857751562579939,0.0,0.0,0.0,0.3574494095971934,0.0,1.7984597623423022,0.27,0.06
60,1.2152009721771324,0.2637602587318062,0.0,0.0,0.0,0.9514407134453262,0.0,1.548080627225111,0.27,0.06
61,1.21469845792896,0.2937702957856554,0.9209281621433045,0.0,0.0,0.0,0.0,1.548080627225111,0.27,0.06
62,1.21469845792896,0.32314618818625884,0.8915522697427011,0.0,0.0,0.0,0.0,1.548080627225111,0.27,0.06
63,0.90964170311022,0.6545996318562013,0.0,0.0,0.0,0.2550420712540187,0.0,1.4809642926845799,0.27,0.06
64,0.90964170311022,0.32358283988630254,0.5860588632239174,0.0,0.0,0.0,0.0,1.4809642926845799,0.27,0.06
65,0.1266462551648625,0.024701043451589105,0.0,0.0,0.0,0.10194521171327339,0.0,1.4541366053916132,0.27,0.06
66,0.1266462551648625,0.1266462551648625,0.0,0.0,0.0,0.0,0.0,1.4541366053916132,0.27,0.06
67,0.20152836635361074,0.20152836635361074,0.0,0.0,0.0,0.0,0.0,1.4541366053916132,0.27,0.06
68,0.20152836635361074,0.11723228098341967,0.0,0.0,0.0,0.08429608537019107,0.0,1.4319534250310366,0.27,0.06
69,0.16584628652541525,0.16584628652541525,0.0,0.0,0.0,0.0,0.0,1.4319534250310366,0.27,0.06
70,0.16584628652541525,0.16584628652541525,0.0,0.0,0.0,0.0,0.0,1.4319534250310366,0.27,0.06
71,0.2904822836717875,0.0,0.2904822836717875,0.0,0.0,0.0,0.0,1.4319534250310366,0.27,0.06
72,0.2904822836717875,0.07099620064432614,0.0,0.0,0.0,0.21948608302746137,0.0,1.374193929497494,0.27,0.06
73,0.34375412116177,0.0,0.0,0.0,0.0,0.34375412116177,0.0,1.2837323186654495,0.27,0.06
74,0.34375412116177,0.0,0.34375412116177,0.0,0.0,0.0,0.0,1.2837323186654495,0.27,0.06
