t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,P_share,P_share_in,P_share_out,c_p2p_buy,c_p2p_sell,c_p2p_fee,allow_export
1,0.741,0.0,0.25,0.05,0.0,0.0,0.0,0.0,2.0,0,0,0.0,-0.741,0.741,0.0,0.15,0.15,0.0,1
2,0.646,0.0,0.25,0.05,0.0,0.0,0.0,0.0,2.0,0,0,0.0,-0.646,0.646,0.0,0.15,0.15,0.0,1
3,0.76775,0.0,0.25,0.05,0.0,0.0,0.0,1.5355,1.595921052631579,0,0,0.0,0.76775,0.0,0.76775,0.15,0.15,0.0,1
4,0.6735,0.0,0.25,0.05,0.0,0.0,0.0,1.347,1.2414473684210527,0,0,0.0,0.6735,0.0,0.6735,0.15,0.15,0.0,1
5,0.64225,0.0,0.25,0.05,0.0,0.0,0.0,1.0184999999999995,0.9734210526315792,0,0,0.0,0.37624999999999953,0.0,0.37624999999999953,0.15,0.15,0.0,1
6,0.7935,0.0,0.25,0.05,0.0,0.0,0.0,1.587,0.5557894736842108,0,0,0.0,0.7935,0.0,0.7935,0.15,0.15,0.0,1
7,0.6395,0.0,0.25,0.05,1.279,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6395,0.0,0.6395,0.15,0.15,0.0,1
8,0.7305,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.7305,0.7305,0.0,0.15,0.15,0.0,1
9,0.7485,0.0,0.25,0.05,1.497,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7485,0.0,0.7485,0.15,0.15,0.0,1
10,0.80575,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.80575,0.80575,0.0,0.15,0.15,0.0,1
11,0.63825,0.0,0.25,0.05,1.2765,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.63825,0.0,0.63825,0.15,0.15,0.0,1
12,0.76175,0.0,0.25,0.05,1.5235,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.76175,0.0,0.76175,0.15,0.15,0.0,1
13,0.8275,0.0,0.25,0.05,1.655,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8275,0.0,0.8275,0.15,0.15,0.0,1
14,0.6285,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6285,0.6285,0.0,0.15,0.15,0.0,1
15,0.743,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.743,0.743,0.0,0.15,0.15,0.0,1
16,0.744,0.0,0.25,0.05,1.488,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.744,0.0,0.744,0.15,0.15,0.0,1
17,0.729,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.729,0.729,0.0,0.15,0.15,0.0,1
18,0.6505,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6505,0.6505,0.0,0.15,0.15,0.0,1
19,0.68125,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.68125,0.68125,0.0,0.15,0.15,0.0,1
20,0.6515,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6515,0.6515,0.0,0.15,0.15,0.0,1
21,0.5935,0.0,0.25,0.05,1.187,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5935,0.0,0.5935,0.15,0.15,0.0,1
22,0.701,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.701,0.701,0.0,0.15,0.15,0.0,1
23,0.653,0.0,0.25,0.05,1.306,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.653,0.0,0.653,0.15,0.15,0.0,1
24,0.8395,0.0,0.25,0.05,1.679,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8395,0.0,0.8395,0.15,0.15,0.0,1
25,0.64425,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64425,0.64425,0.0,0.15,0.15,0.0,1
26,0.56525,0.0,0.25,0.05,1.1305,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.56525,0.0,0.56525,0.15,0.15,0.0,1
27,0.79725,0.0,0.25,0.05,1.5945,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.79725,0.0,0.79725,0.15,0.15,0.0,1
28,0.61775,0.0,0.25,0.05,1.2355,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.61775,0.0,0.61775,0.15,0.15,0.0,1
29,0.673,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.673,0.673,0.0,0.15,0.15,0.0,1
30,0.613,0.0,0.25,0.05,1.226,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.613,0.0,0.613,0.15,0.15,0.0,1
31,0.762,0.0,0.25,0.05,1.524,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.762,0.0,0.762,0.15,0.15,0.0,1
32,0.627,0.0,0.25,0.05,1.254,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.627,0.0,0.627,0.15,0.15,0.0,1
33,0.653,0.0,0.25,0.05,1.306,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.653,0.0,0.653,0.15,0.15,0.0,1
34,0.68425,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.68425,0.68425,0.0,0.15,0.15,0.0,1
35,0.56975,0.0030107480726985197,0.25,0.05,1.1351989313247164,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5684596793974149,0.0,0.5684596793974149,0.15,0.15,0.0,1
36,0.6445,0.00688170988045373,0.25,0.05,1.279168985885066,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6415506957655198,0.0,0.6415506957655198,0.15,0.15,0.0,1
37,0.834,0.00911826559160125,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8248817344083987,0.8248817344083987,0.0,0.15,0.15,0.0,1
38,0.736,0.011096757182231699,0.25,0.05,1.456147489739669,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7312442469219007,0.0,0.7312442469219007,0.15,0.15,0.0,1
39,0.7005,0.01281718465234515,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6876828153476549,0.6876828153476549,0.0,0.15,0.15,0.0,1
40,0.65,0.01427954800194153,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6357204519980585,0.6357204519980585,0.0,0.15,0.15,0.0,1
41,0.698,0.01574191135153798,0.25,0.05,1.3735115552120885,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6912534665636265,0.0,0.6912534665636265,0.15,0.15,0.0,1
42,0.87875,0.01668814646010036,0.25,0.05,1.7336597907712852,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8715979372313856,0.0,0.8715979372313856,0.15,0.15,0.0,1
43,0.7325,0.018064488436191187,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.7144355115638088,0.7144355115638088,0.0,0.15,0.15,0.0,1
44,0.88825,0.034666613522785786,0.25,0.05,1.7269762663960204,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8733928799188061,0.0,0.8733928799188061,0.15,0.15,0.0,1
45,0.68425,0.06537624386431089,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6188737561356892,0.6188737561356892,0.0,0.15,0.15,0.0,1
46,0.76775,0.08111815521584893,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6866318447841511,0.6866318447841511,0.0,0.15,0.15,0.0,1
47,0.7115,0.11053746495478868,0.25,0.05,1.2650893357788733,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.664126800733662,0.0,0.664126800733662,0.15,0.15,0.0,1
48,0.7955,0.12662346180034947,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6688765381996505,0.6688765381996505,0.0,0.15,0.15,0.0,1
49,0.67925,0.13840838997062666,0.25,0.05,1.1607737286133906,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6199321185840172,0.0,0.6199321185840172,0.15,0.15,0.0,1
50,0.77225,0.14804278380326188,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6242072161967381,0.6242072161967381,0.0,0.15,0.15,0.0,1
51,0.6305,0.13625785563298473,0.25,0.05,1.0663459205243075,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5721037761572922,0.0,0.5721037761572922,0.15,0.15,0.0,1
52,0.8015,0.15285998071957949,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6486400192804205,0.6486400192804205,0.0,0.15,0.15,0.0,1
53,0.7915,0.1712685546497933,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6202314453502067,0.6202314453502067,0.0,0.15,0.15,0.0,1
54,0.667,0.17410725997548043,0.25,0.05,1.0852753428921709,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5923826028676513,0.0,0.5923826028676513,0.15,0.15,0.0,1
55,0.662,0.16610727223945296,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.49589272776054705,0.49589272776054705,0.0,0.15,0.15,0.0,1
56,0.792,0.12060196565495239,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6713980343450476,0.6713980343450476,0.0,0.15,0.15,0.0,1
57,0.7075,0.08481707427659284,0.25,0.05,1.2938327510334389,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6711498253100316,0.0,0.6711498253100316,0.15,0.15,0.0,1
58,0.89825,0.06270958128563499,0.25,0.05,1.7069148838776642,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8713744651632993,0.0,0.8713744651632993,0.15,0.15,0.0,1
59,0.6725,0.05668808514023794,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.615811914859762,0.615811914859762,0.0,0.15,0.15,0.0,1
60,0.66475,0.0586665767308684,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6060834232691316,0.6060834232691316,0.0,0.15,0.15,0.0,1
61,0.88275,0.0647740942497712,0.25,0.05,1.6729655796431842,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8549896738929552,0.0,0.8549896738929552,0.15,0.15,0.0,1
62,0.776,0.06855903468402065,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.7074409653159793,0.7074409653159793,0.0,0.15,0.15,0.0,1
63,0.71975,0.052387016464954285,0.25,0.05,1.3646614050500654,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6972984215150196,0.0,0.6972984215150196,0.15,0.15,0.0,1
64,0.8925,0.03870961807755245,0.25,0.05,1.7297005456034964,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8759101636810489,0.0,0.8759101636810489,0.15,0.15,0.0,1
65,0.838,0.028042967762849196,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8099570322371508,0.8099570322371508,0.0,0.15,0.15,0.0,1
66,0.67775,0.02391394183457685,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6538360581654231,0.6538360581654231,0.0,0.15,0.15,0.0,1
67,0.701,0.02107523650888964,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6799247634911103,0.6799247634911103,0.0,0.15,0.15,0.0,1
68,0.83825,0.01883868079774219,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8194113192022578,0.8194113192022578,0.0,0.15,0.15,0.0,1
69,0.76775,0.01522578311050398,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.7525242168894961,0.7525242168894961,0.0,0.15,0.15,0.0,1
70,0.894,0.01075267168820901,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.883247328311791,0.883247328311791,0.0,0.15,0.15,0.0,1
71,0.63225,0.00627956026591404,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.625970439734086,0.625970439734086,0.0,0.15,0.15,0.0,1
72,0.656,0.0028387053256871395,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6531612946743129,0.6531612946743129,0.0,0.15,0.15,0.0,1
73,0.6465,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6465,0.6465,0.0,0.15,0.15,0.0,1
74,0.8755,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8755,0.8755,0.0,0.15,0.15,0.0,1
75,0.6405,0.0,0.25,0.05,1.281,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6405,0.0,0.6405,0.15,0.15,0.0,1
76,0.70425,0.0,0.25,0.05,1.4085,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.70425,0.0,0.70425,0.15,0.15,0.0,1
77,0.68,0.0,0.25,0.05,1.36,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.68,0.0,0.68,0.15,0.15,0.0,1
78,0.74575,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.74575,0.74575,0.0,0.15,0.15,0.0,1
79,0.78625,0.0,0.25,0.05,1.5725,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.78625,0.0,0.78625,0.15,0.15,0.0,1
80,0.64975,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64975,0.64975,0.0,0.15,0.15,0.0,1
81,0.68325,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.68325,0.68325,0.0,0.15,0.15,0.0,1
82,0.701,0.0,0.25,0.05,1.402,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.701,0.0,0.701,0.15,0.15,0.0,1
83,0.68,0.0,0.25,0.05,1.36,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.68,0.0,0.68,0.15,0.15,0.0,1
84,0.6845,0.0,0.25,0.05,1.369,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6845,0.0,0.6845,0.15,0.15,0.0,1
85,0.6425,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6425,0.6425,0.0,0.15,0.15,0.0,1
86,0.701,0.0,0.25,0.05,1.402,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.701,0.0,0.701,0.15,0.15,0.0,1
87,0.59425,0.0,0.25,0.05,1.1885,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.59425,0.0,0.59425,0.15,0.15,0.0,1
88,0.586,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.586,0.586,0.0,0.15,0.15,0.0,1
89,0.64975,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64975,0.64975,0.0,0.15,0.15,0.0,1
90,0.65725,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.65725,0.65725,0.0,0.15,0.15,0.0,1
91,0.822,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.822,0.822,0.0,0.15,0.15,0.0,1
92,0.75975,0.0,0.25,0.05,1.5195,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.75975,0.0,0.75975,0.15,0.15,0.0,1
93,0.64375,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64375,0.64375,0.0,0.15,0.15,0.0,1
94,0.62075,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.62075,0.62075,0.0,0.15,0.15,0.0,1
95,0.72925,0.0,0.25,0.05,1.4585,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.72925,0.0,0.72925,0.15,0.15,0.0,1
96,0.632,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.632,0.632,0.0,0.15,0.15,0.0,1
97,0.7635,0.0,0.25,0.05,1.527,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7635,0.0,0.7635,0.15,0.15,0.0,1
98,0.66925,0.0,0.25,0.05,1.3385,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.66925,0.0,0.66925,0.15,0.15,0.0,1
99,0.8805,0.0,0.25,0.05,1.761,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8805,0.0,0.8805,0.15,0.15,0.0,1
100,0.68225,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.68225,0.68225,0.0,0.15,0.15,0.0,1
101,0.592,0.0,0.25,0.05,1.184,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.592,0.0,0.592,0.15,0.15,0.0,1
102,0.6605,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6605,0.6605,0.0,0.15,0.15,0.0,1
103,0.64525,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64525,0.64525,0.0,0.15,0.15,0.0,1
104,0.72575,0.0,0.25,0.05,1.4515,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.72575,0.0,0.72575,0.15,0.15,0.0,1
105,0.67375,0.0,0.25,0.05,1.3475,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.67375,0.0,0.67375,0.15,0.15,0.0,1
106,0.61125,0.0,0.25,0.05,1.2225,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.61125,0.0,0.61125,0.15,0.15,0.0,1
107,0.61125,0.0,0.25,0.05,1.2225,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.61125,0.0,0.61125,0.15,0.15,0.0,1
108,0.62875,0.0,0.25,0.05,1.2575,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.62875,0.0,0.62875,0.15,0.15,0.0,1
109,0.8155,0.0,0.25,0.05,1.631,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.8155,0.0,0.8155,0.15,0.15,0.0,1
110,0.769,0.0,0.25,0.05,1.538,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.769,0.0,0.769,0.15,0.15,0.0,1
111,0.5775,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.5775,0.5775,0.0,0.15,0.15,0.0,1
112,0.64,0.0,0.25,0.05,1.28,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.64,0.0,0.64,0.15,0.15,0.0,1
113,0.77675,0.0,0.25,0.05,1.5535,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.77675,0.0,0.77675,0.15,0.15,0.0,1
114,0.64375,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.64375,0.64375,0.0,0.15,0.15,0.0,1
115,0.666,0.0,0.25,0.05,1.332,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.666,0.0,0.666,0.15,0.15,0.0,1
116,0.645,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.645,0.645,0.0,0.15,0.15,0.0,1
117,0.626,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.626,0.626,0.0,0.15,0.15,0.0,1
118,0.63875,0.0,0.25,0.05,1.2775,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.63875,0.0,0.63875,0.15,0.15,0.0,1
119,0.853,0.0,0.25,0.05,1.706,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.853,0.0,0.853,0.15,0.15,0.0,1
120,0.72275,0.0,0.25,0.05,1.4455,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.72275,0.0,0.72275,0.15,0.15,0.0,1
121,0.64275,0.0,0.25,0.05,1.2855,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.64275,0.0,0.64275,0.15,0.15,0.0,1
122,0.6605,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6605,0.6605,0.0,0.15,0.15,0.0,1
123,0.75575,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.75575,0.75575,0.0,0.15,0.15,0.0,1
124,0.72725,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.72725,0.72725,0.0,0.15,0.15,0.0,1
125,0.7865,0.0,0.25,0.05,1.573,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7865,0.0,0.7865,0.15,0.15,0.0,1
126,0.617,0.0,0.25,0.05,1.234,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.617,0.0,0.617,0.15,0.15,0.0,1
127,0.59025,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.59025,0.59025,0.0,0.15,0.15,0.0,1
128,0.6775,0.0,0.25,0.05,1.355,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6775,0.0,0.6775,0.15,0.15,0.0,1
129,0.66825,0.0,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.66825,0.66825,0.0,0.15,0.15,0.0,1
130,0.58375,0.0,0.25,0.05,1.1675,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.58375,0.0,0.58375,0.15,0.15,0.0,1
131,0.73825,0.00387096180775521,0.25,0.05,1.4709700545603495,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7365910163681049,0.0,0.7365910163681049,0.15,0.15,0.0,1
132,0.99275,0.00705375262746511,0.25,0.05,1.9754232105321927,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9897269631596578,0.0,0.9897269631596578,0.15,0.15,0.0,1
133,0.62625,0.009290308338612559,0.25,0.05,1.2392281309448392,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6222684392834518,0.0,0.6222684392834518,0.15,0.15,0.0,1
134,0.716,0.011526864049760081,0.25,0.05,1.4155330513574855,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7110599154072457,0.0,0.7110599154072457,0.15,0.15,0.0,1
135,0.63775,0.013075248772862149,0.25,0.05,1.2568210731816256,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6321463219544877,0.0,0.6321463219544877,0.15,0.15,0.0,1
136,0.80525,0.014537612122458599,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.7907123878775414,0.7907123878775414,0.0,0.15,0.15,0.0,1
137,0.64425,0.01591395409854936,0.25,0.05,1.2657657798592152,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6374297339577646,0.0,0.6374297339577646,0.15,0.15,0.0,1
138,0.57225,0.01720427470113443,0.25,0.05,1.119922464712665,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5648767394137996,0.0,0.5648767394137996,0.15,0.15,0.0,1
139,0.688,0.018924702171247948,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.669075297828752,0.669075297828752,0.0,0.15,0.15,0.0,1
140,0.652,0.037591340221978686,0.25,0.05,1.2502980853971735,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6358894256191521,0.0,0.6358894256191521,0.15,0.15,0.0,1
141,0.6955,0.06735473545494133,0.25,0.05,1.2947789493500839,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6666336848050252,0.0,0.6666336848050252,0.15,0.15,0.0,1
142,0.62875,0.0822364330714227,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.5465135669285773,0.5465135669285773,0.0,0.15,0.15,0.0,1
143,0.608,0.10993531534024913,0.25,0.05,1.0589495495139296,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5608848648541789,0.0,0.5608848648541789,0.15,0.15,0.0,1
144,0.735,0.12696754729437218,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6080324527056278,0.6080324527056278,0.0,0.15,0.15,0.0,1
145,0.65025,0.13720409074154719,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.5130459092584528,0.5130459092584528,0.0,0.15,0.15,0.0,1
146,0.6735,0.14924708303234135,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.5242529169676586,0.5242529169676586,0.0,0.15,0.15,0.0,1
147,0.658,0.13780624035608688,0.25,0.05,1.1191339423484474,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.5989401827045342,0.0,0.5989401827045342,0.15,0.15,0.0,1
148,0.685,0.15191374561101703,0.25,0.05,1.152980363412833,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6198941090238499,0.0,0.6198941090238499,0.15,0.15,0.0,1
149,0.675,0.1704943622882423,0.25,0.05,1.106436625302511,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.6019309875907534,0.0,0.6019309875907534,0.15,0.15,0.0,1
150,0.785,0.17531155920455974,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.6096884407954403,0.6096884407954403,0.0,0.15,0.15,0.0,1
151,1.019,0.1668814646010041,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8521185353989958,0.8521185353989958,0.0,0.15,0.15,0.0,1
152,1.0325,0.12645141905333818,0.25,0.05,1.8843551156380882,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9783065346914265,0.0,0.9783065346914265,0.15,0.15,0.0,1
153,1.018,0.08765577960228005,0.25,0.05,1.9107774577110286,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9804332373133086,0.0,0.9804332373133086,0.15,0.15,0.0,1
154,0.9405,0.0658063507318392,0.25,0.05,1.786990927525944,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9122972782577832,0.0,0.9122972782577832,0.15,0.15,0.0,1
155,1.10175,0.059268726345408085,0.25,0.05,2.1188303909351314,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,1.0763491172805395,0.0,1.0763491172805395,0.15,0.15,0.0,1
156,0.9315,0.05987087595994785,0.25,0.05,1.7774701772000745,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9058410531600224,0.0,0.9058410531600224,0.15,0.15,0.0,1
157,0.9375,0.0676988209489641,0.25,0.05,0.0,0.0,0.0,0.0,0.5557894736842108,0,0,0.0,-0.8698011790510359,0.8698011790510359,0.0,0.15,0.15,0.0,1
158,0.94625,0.06941924841907755,0.25,0.05,1.7933296451156036,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9164988935346811,0.0,0.9164988935346811,0.15,0.15,0.0,1
159,0.978,0.053763358441045045,0.25,0.05,1.8791952022270784,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.9549585606681236,0.0,0.9549585606681236,0.15,0.15,0.0,1
160,0.78425,0.040602088294677346,0.25,0.05,1.5104970167218896,0.0,0.0,0.0,0.5557894736842108,0,1,0.0,0.7668491050165669,0.0,0.7668491050165669,0.15,0.15,0.0,1
