t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell
1,0.08963123873653875,0.0,0.08963123873653875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
2,0.08963123873653875,0.0,0.08963123873653875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
3,0.0942995324207335,0.0,0.0942995324207335,0.0,0.0,0.0,0.0,0.0,0.27,0.06
4,0.0942995324207335,0.0,0.0942995324207335,0.0,0.0,0.0,0.0,0.0,0.27,0.06
5,0.1671249138941715,0.0,0.1671249138941715,0.0,0.0,0.0,0.0,0.0,0.27,0.06
6,0.1671249138941715,0.0,0.1671249138941715,0.0,0.0,0.0,0.0,0.0,0.27,0.06
7,0.05415220673665875,0.0,0.05415220673665875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
8,0.05415220673665875,0.0,0.05415220673665875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
9,0.05601952421033675,0.0,0.05601952421033675,0.0,0.0,0.0,0.0,0.0,0.27,0.06
10,0.05601952421033675,0.0,0.05601952421033675,0.0,0.0,0.0,0.0,0.0,0.27,0.06
11,0.0793609926313105,0.0,0.0793609926313105,0.0,0.0,0.0,0.0,0.0,0.27,0.06
12,0.0793609926313105,0.0,0.0793609926313105,0.0,0.0,0.0,0.0,0.0,0.27,0.06
13,0.04668293684194725,0.0,0.04668293684194725,0.0,0.0,0.0,0.0,0.0,0.27,0.06
14,0.04668293684194725,0.0,0.04668293684194725,0.0,0.0,0.0,0.0,0.0,0.27,0.06
15,0.07189172273659875,0.0,0.07189172273659875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
16,0.07189172273659875,0.0,0.07189172273659875,0.0,0.0,0.0,0.0,0.0,0.27,0.06
17,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.27,0.06
18,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.27,0.06
19,0.0756263576839545,0.0,0.0756263576839545,0.0,0.0,0.0,0.0,0.0,0.27,0.06
20,0.0756263576839545,0.0,0.0756263576839545,0.0,0.0,0.0,0.0,0.0,0.27,0.06
21,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.27,0.06
22,0.07095806399976,0.0,0.07095806399976,0.0,0.0,0.0,0.0,0.0,0.27,0.06
23,0.052284889262981,0.0,0.052284889262981,0.0,0.0,0.0,0.0,0.0,0.27,0.06
24,0.052284889262981,0.0,0.052284889262981,0.0,0.0,0.0,0.0,0.0,0.27,0.06
25,0.0429483018945915,0.0,0.0429483018945915,0.0,0.0,0.0,0.0,0.0,0.27,0.06
26,0.0429483018945915,0.0,0.0429483018945915,0.0,0.0,0.0,0.0,0.0,0.27,0.06
27,0.105503437262801,0.0,0.105503437262801,0.0,0.0,0.0,0.0,0.0,0.27,0.06
28,0.105503437262801,0.0,0.105503437262801,0.0,0.0,0.0,0.0,0.0,0.27,0.06
29,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.27,0.06
30,0.103636119789123,0.0,0.103636119789123,0.0,0.0,0.0,0.0,0.0,0.27,0.06
31,0.1139063658943515,0.0,0.1139063658943515,0.0,0.0,0.0,0.0,0.0,0.27,0.06
32,0.1139063658943515,0.0,0.1139063658943515,0.0,0.0,0.0,0.0,0.0,0.27,0.06
33,0.1297785644206135,0.0,0.1297785644206135,0.0,0.0,0.0,0.0,0.0,0.27,0.06
34,0.1297785644206135,0.0,0.1297785644206135,0.0,0.0,0.0,0.0,0.0,0.27,0.06
35,0.10643709599963976,0.0025834977751101164,0.10385359822452964,0.0,0.0,0.0,0.0,0.0,0.27,0.06
36,0.10643709599963976,0.005905137771680272,0.10053195822795949,0.0,0.0,0.0,0.0,0.0,0.27,0.06
37,0.10923807221015674,0.007824307547476353,0.10141376466268039,0.0,0.0,0.0,0.0,0.0,0.27,0.06
38,0.10923807221015674,0.009522034656834424,0.09971603755332233,0.0,0.0,0.0,0.0,0.0,0.27,0.06
39,0.08963123873653875,0.0109983190997545,0.07863291963678425,0.0,0.0,0.0,0.0,0.0,0.27,0.06
40,0.08963123873653875,0.012253160876236544,0.07737807786030221,0.0,0.0,0.0,0.0,0.0,0.27,0.06
41,0.04014732568407475,0.013508002652718606,0.026639323031356146,0.0,0.0,0.0,0.0,0.0,0.27,0.06
42,0.04014732568407475,0.014319959096324643,0.02582736658775011,0.0,0.0,0.0,0.0,0.0,0.27,0.06
43,0.07375904021027675,0.015500986650660695,0.05825805355961606,0.0,0.0,0.0,0.0,0.0,0.27,0.06
44,0.07375904021027675,0.02974713152483934,0.04401190868543741,0.0,0.0,0.0,0.0,0.0,0.27,0.06
45,0.04014732568407475,0.05609880883096252,0.0,0.015951483146887768,0.0,0.0,0.0,0.0,0.27,0.06
46,0.04014732568407475,0.06960681148368109,0.0,0.029459485799606333,0.0,0.0,0.0,0.0,0.27,0.06
