,0.58073974597962,0.3861518734099475,0.1945774848771245
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.029498317711458152,0.005105001007136513,0.002572351255199729
34,0.06716853925174991,0.011838923425647121,0.005965497262704552
35,0.08845722330586156,0.016046368301601836,0.008085580313171305
36,0.11352491092150165,0.0156221602325977,0.007871826749314376
37,0.1411103617522246,0.011404952053471449,0.005746824082743144
38,0.1573739170222876,0.012597326839014994,0.006347648014408127
39,0.16946199273562898,0.016566157180325367,0.008347495947028044
40,0.17399297534233862,0.021322360467190937,0.010744092045216945
41,0.1446802064636783,0.052114112074313386,0.02625970130477491
42,0.27678973382537203,0.10058029751225116,0.05068125436063872
43,0.6011672810604561,0.137028669061984,0.06904716930852461
44,0.7422524171344971,0.17246381608239444,0.0869025320770559
45,0.311935881764556,0.7001465157925749,0.3527957714807542
46,0.35534870459853374,0.8033532840678903,0.4048004742314459
47,0.407062281579627,0.8657266697700313,0.43622970544563433
48,0.44739911303224966,0.9180080143791362,0.4625736733000494
49,0.39885100314850724,0.8535297737520349,0.4300838299134702
50,0.4525766639382393,0.9541167560636773,0.48076845266758833
51,0.5950808692557087,1.0105028930791327,0.509180778174439
52,0.6006868894102904,1.0300823539184658,0.519046643155814
53,0.6616971216260596,0.9238302620391412,0.4655074368890015
54,0.19829796283934092,0.8583436655316877,0.4325094945792514
55,0.10903786635012541,0.623885261696463,0.3143686032151641
56,0.05697728096632329,0.4769893650176522,0.2403494514702005
57,0.1303171370908678,0.37878315030581017,0.19086447010990862
58,0.2027211036345642,0.34688301885273487,0.17479036100206677
59,0.23987769906922377,0.37232167785926873,0.18760860850771446
60,0.23151982072176694,0.4089553821770349,0.2060679105044598
61,0.14260177544093833,0.3353007121502596,0.16895416995282564
62,0.10398040299760034,0.24868366161926522,0.1253088350462061
63,0.23443754249375437,0.07435875060849838,0.03746851865366145
64,0.1962658561424218,0.06583944237024404,0.03317573727918738
65,0.14849163544413804,0.07429942779948867,0.03743862657293419
66,0.13894404834119564,0.062284823669600656,0.03138460582523193
67,0.12310910502322119,0.0431505189532343,0.021743049891019228
68,0.09147376617103489,0.027459804351367127,0.013836679384006583
69,0.03999992749203859,0.024960559690612873,0.01257733876269124
70,0.01721418412840653,0.011860694427104064,0.005976467419781207
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.01989090224067875,0.018556154853512353,0.009350232872115994
130,0.04044785290290482,0.031019208743083154,0.015630222292616028
131,0.05390098852733481,0.04043684604712635,0.020375661344676037
132,0.06158599954924635,0.053689956949222725,0.02705375140120111
133,0.07391779998649446,0.05820300135967372,0.029327822540024993
134,0.0772307813078188,0.0680067685617985,0.034267828003847096
135,0.08721269119150542,0.07266980185531823,0.03661747681466123
136,0.10448054876765706,0.07178181874009883,0.036170032342498035
137,0.13074821527305627,0.06844086191405531,0.03448656264816766
138,0.2544753813967364,0.139431489435063,0.07025792284100575
139,0.41837087772243714,0.27482221594369977,0.13847975174760702
140,0.4561716996035509,0.37187276513052786,0.1873824065501362
141,0.10699935919691403,0.8314736651955917,0.418970010650619
142,0.1292063680046522,0.9565501373817104,0.4819946055085125
143,0.11596894620256841,1.0493992419047677,0.5287802006984391
144,0.13329070717321473,1.136760053355168,0.5728003081725718
145,0.14451079828163546,1.035364479216289,0.5217082453026107
146,0.16073879013877473,1.1404032350426312,0.5746360654963366
